year,state,policies_prem,acres_insured,liabilities,premium,subsidy,indemnity,loss_ratio,net_benefit,farmer_premium,benefit_by_pol,benefit_by_acre
2022,AZ,1263,37482282,523976393,116310765,63039098,132264501,33.683314,78992834,53271667,62543.81156,2.107471311
2022,CA,23068,13878556,10610593220,561247375,323884887,1266119242,97.818347,1028756754,237362488,44596.7034,74.12563339
2022,CO,14956,14994636,1589009153,286426330,173309542,462946970,55.632122,349830182,113116788,23390.62463,23.33035507
2022,CT,258,19740,44103375,9107398,5904879,1952627,14.562858,-1249892,3202519,-4844.542636,-63.3177305
2022,DE,1454,314378,183722194,15222131,9332918,5649649,13.460468,-239564,5889213,-164.7620358,-0.762025333
2022,FL,6420,2751447,1479688240,156569947,91737784,222666047,68.840167,157833884,64832163,24584.71713,57.36395577
2022,GA,18315,2707449,2228660056,301594629,199816082,180822609,20.014875,79044062,101778547,4315.810101,29.19503267
2022,HI,121,16461,50885545,1043351,613104,2348197,4.874855,1917950,430247,15850.82645,116.5147925
2022,IA,124241,21966545,19457141290,1354311951,730280215,284158830,8.741845,-339872906,624031736,-2735.593773,-15.4722969
2022,ID,6102,8870609,1419800044,117668124,62407793,118461757,48.878353,63201426,55260331,10357.49361,7.124812513
2022,IL,125202,19866114,16963138162,1239804857,727197087,120223035,11.262699,-392384735,512607770,-3134.013314,-19.75145894
2022,IN,49122,9748691,7966521888,668963069,391333075,73695350,13.276422,-203934644,277629994,-4151.594886,-20.91918228
2022,KS,109903,21372754,7332337233,1117881244,704926209,2021192770,49.983948,1608237735,412955035,14633.24691,75.24709895
2022,KY,16126,3509645,2385821719,253927300,167071721,153212248,17.268119,66356669,86855579,4114.887077,18.90694614
2022,LA,9461,2725123,1755970921,153915457,107349206,138996127,24.170133,92429876,46566251,9769.567276,33.91768959
2022,MA,455,23173,54372103,4807771,2983759,2263467,12.693661,439455,1824012,965.8351648,18.96409615
2022,MD,4202,849188,485873479,47073203,30490772,12490770,13.498606,-4091661,16582431,-973.7413137,-4.818321738
2022,ME,428,103955,109798973,11175350,7366428,2346110,2.939024,-1462812,3808922,-3417.785047,-14.07158867
2022,MI,22915,4390041,3065029798,274269072,177882918,83103907,12.259377,-13282247,96386154,-579.631115,-3.025540536
2022,MN,76003,17717620,12651383469,1066007340,649737290,354606378,23.921774,-61663672,416270050,-811.332079,-3.480358649
2022,MO,49471,9920558,5446985792,630242099,420335762,301188781,21.20736,91282444,209906337,1845.170787,9.201341699
2022,MS,7674,3547794,1960531963,198248056,147038239,124208239,20.095753,72998422,51209817,9512.434454,20.5757217
2022,MT,13358,15553843,1668059979,285983930,177970600,368966426,39.215201,260953096,108013330,19535.34182,16.77740324
2022,NC,24886,3341037,2255938325,336772217,220785023,201416934,25.678918,85429740,115987194,3432.843366,25.56982757
2022,ND,63039,24475622,8885025795,1444283614,983721094,1006147984,25.717913,545585464,460562520,8654.729041,22.29097442
2022,NE,78551,20162673,11757275748,940151404,561405826,1380131820,62.201696,1001386242,378745578,12748.23035,49.66535151
2022,NH,75,8142,6361324,468816,306322,188990,8.529862,26496,162494,353.28,3.254237288
2022,NJ,941,153383,113715496,9632450,6672104,21239271,19.057374,18278925,2960346,19425,119.1717791
2022,NM,2812,27821645,669304652,132261197,73970753,220442095,35.436,162151651,58290444,57664.17176,5.828255339
2022,NV,492,37823855,464687686,122744402,65284274,196346796,3.782515,138886668,57460128,282289.9756,3.671933176
2022,NY,4528,1151467,807162405,83690996,56288054,44027931,16.853413,16624989,27402942,3671.596511,14.43809419
2022,OH,46280,7293587,5155213239,446093137,277298427,87380891,11.487422,-81413819,168794710,-1759.157714,-11.16238402
2022,OK,18561,7624364,1410372390,329783805,225534179,669225360,57.684227,564975734,104249626,30438.86288,74.10135901
2022,OR,4028,15243496,925166323,117832469,63829052,138969146,90.044494,84965729,54003417,21093.77582,5.573900436
2022,PA,7953,1201677,720285950,86362852,59397738,65982378,22.200941,39017264,26965114,4905.980636,32.46901122
2022,RI,31,1326,1486294,117347,77986,250199,36.140787,210838,39361,6801.225806,159.0030166
2022,SC,7992,1089206,725162608,145488861,98036650,149448777,45.228499,101996566,47452211,12762.33308,93.64304457
2022,SD,52304,18033001,7875175589,1079097258,755969738,1007137742,27.239577,684010222,323127520,13077.58913,37.93102557
2022,TN,10456,2758081,1528448716,142235304,98064728,127727837,31.74441,83557261,44170576,7991.321825,30.29543404
2022,TX,81539,51035657,7882155152,1992465294,1346553175,3775688475,89.249404,3129776356,645912119,38383.79617,61.32528785
2022,UT,1437,21806964,192638115,41098232,22253711,67951837,15.866782,49107316,18844521,34173.49756,2.251909803
2022,VA,7788,1219775,736875715,100247962,66535947,35309053,25.928488,1597038,33712015,205.0639445,1.309289008
2022,VT,292,86134,42525515,4334757,2817490,2049945,7.333374,532678,1517267,1824.239726,6.184294239
2022,WA,11513,5081579,3324182091,203021970,104896922,188969404,45.844118,90844356,98125048,7890.589421,17.87719053
2022,WI,32935,5378686,3921863693,402228445,268442672,65589199,12.925113,-68196574,133785773,-2070.641385,-12.67903982
2022,WV,300,52046,30085667,3685109,2403809,1947097,4.882897,665797,1281300,2219.323333,12.79247204
